match_result,surface,stadie_id,best_of,opponent_code,tournament_id,player_code,id,year,player_name,match_order,player_citizenship,player_age,opponent_name,opponent_citizenship,opponent_age,player_seed,opponent_seed,player_handedness,player_backhand,player_height,player_weight,opponent_handedness,opponent_backhand,opponent_height,opponent_weight,tournament_start_dtm,tournament_category,tournament_prize,tournament_country,tournament_name,indoor_outdoor,player_years_experience,opponent_years_experience,player_matches_won,player_win_rate,opponent_matches_won,opponent_win_rate,player_gs_titles,opponent_gs_titles,player_atp_ranking,opponent_atp_ranking,player_highest_atp_ranking,opponent_highest_atp_ranking,player_rank_trend_4w_cat,player_rank_trend_12w_cat,opponent_rank_trend_4w_cat,opponent_rank_trend_12w_cat,player_rank_trend_4w,player_rank_trend_12w,opponent_rank_trend_4w,opponent_rank_trend_12w,rank_diff_t,trend_diff_4w,trend_diff_12w,log_rank_ratio_t,log_player_dist_to_peak,log_opponent_dist_to_peak,player_home,opponent_home,elo_diff,player_elo_surface_pre,opponent_elo_surface_pre,player_win_prob_surface,player_surface_specialization,opponent_surface_specialization,surface_specialization_diff,player_favourite_surface,opponent_favourite_surface,player_win_rate_surface_progressive,opponent_win_rate_surface_progressive,cumulative_sets,player_sets_played_tournament,opponent_sets_played_tournament,player_win_ratio_last_5_matches,player_win_ratio_last_10_matches,opponent_win_ratio_last_5_matches,opponent_win_ratio_last_10_matches,momentum_diff_5,momentum_diff_10,player_trend,opponent_trend,player_good_form_5,player_good_form_10,opponent_good_form_5,opponent_good_form_10,player_consistency,opponent_consistency,player_won_previous_tournament,opponent_won_previous_tournament,player_h2h_full_win_ratio,player_h2h_total_matches,player_h2h_surface_win_ratio,player_h2h_surface_total_matches,player_serve_1st_in_pct_avg,opponent_serve_1st_in_pct_avg,player_serve_2nd_won_pct_avg,opponent_serve_2nd_won_pct_avg,player_double_faults_pct_avg,opponent_double_faults_pct_avg,player_aces_per_match_avg,opponent_aces_per_match_avg,player_service_games_won_pct_avg,opponent_service_games_won_pct_avg,player_break_points_saved_pct_avg,opponent_break_points_saved_pct_avg,player_return_games_won_pct_avg,opponent_return_games_won_pct_avg,player_break_points_converted_pct_avg,opponent_break_points_converted_pct_avg,player_total_points_won_pct_avg,opponent_total_points_won_pct_avg,log_ratio_serve_1st_in_pct,log_ratio_serve_2nd_won_pct,log_ratio_double_faults_pct,log_ratio_aces_per_match,log_ratio_service_games_won_pct,log_ratio_break_points_saved_pct,log_ratio_return_2nd_won_pct,log_ratio_return_games_won_pct,log_ratio_break_points_converted_pct,log_ratio_total_points_won_pct,log_ratio_tiebreaks_won_pct,player_clutch_bp_save_gap,opponent_clutch_bp_save_gap,player_clutch_bp_conv_gap,opponent_clutch_bp_conv_gap,player_clutch_tiebreak_adj,opponent_clutch_tiebreak_adj,player_days_since_prev_tournament,player_weeks_since_prev_tournament,player_back_to_back_week,player_two_weeks_gap,player_long_rest,player_country_changed,player_surface_changed,player_indoor_changed,player_continent_changed,player_red_eye_risk,player_travel_fatigue,player_prev_tour_matches,player_prev_tour_max_round,opponent_days_since_prev_tournament,opponent_weeks_since_prev_tournament,opponent_back_to_back_week,opponent_two_weeks_gap,opponent_long_rest,opponent_country_changed,opponent_surface_changed,opponent_indoor_changed,opponent_continent_changed,opponent_red_eye_risk,opponent_travel_fatigue,opponent_prev_tour_matches,opponent_prev_tour_max_round,player_prestigious_non_gs_titles,opponent_prestigious_non_gs_titles,player_win_prob_diff_general_vs_surface_cat,opponent_win_prob_diff_general_vs_surface_cat,h2h_surface_vs_general_diff,player_serve_1st_efficiency,opponent_serve_1st_efficiency,player_return_1st_efficiency,opponent_return_1st_efficiency,player_return_1st_vs_2nd_diff,opponent_return_1st_vs_2nd_diff,has_player_h2h_surface,has_player_h2h_full,player_h2h_full_cred,player_h2h_surface_cred,player_prev_matches,opponent_prev_matches,log_ratio_tiebreaks_won_pct_was_na,log_ratio_break_points_converted_pct_was_na,log_ratio_break_points_saved_pct_was_na,log_ratio_double_faults_pct_was_na,log_ratio_service_games_won_pct_was_na,log_ratio_return_games_won_pct_was_na,log_ratio_total_points_won_pct_was_na,log_ratio_aces_per_match_was_na,player_clutch_tiebreak_adj_was_na,opponent_clutch_tiebreak_adj_was_na,player_break_points_converted_pct_avg_was_na,opponent_break_points_converted_pct_avg_was_na,player_clutch_bp_conv_gap_was_na,opponent_clutch_bp_conv_gap_was_na,player_break_points_saved_pct_avg_was_na,opponent_break_points_saved_pct_avg_was_na,player_clutch_bp_save_gap_was_na,opponent_clutch_bp_save_gap_was_na,player_double_faults_pct_avg_was_na,opponent_double_faults_pct_avg_was_na,player_aces_per_match_avg_was_na,opponent_aces_per_match_avg_was_na,player_service_games_won_pct_avg_was_na,opponent_service_games_won_pct_avg_was_na,player_return_games_won_pct_avg_was_na,opponent_return_games_won_pct_avg_was_na,player_total_points_won_pct_avg_was_na,opponent_total_points_won_pct_avg_was_na,player_serve_1st_efficiency_was_na,opponent_serve_1st_efficiency_was_na,player_return_1st_efficiency_was_na,opponent_return_1st_efficiency_was_na,log_ratio_serve_1st_in_pct_was_na,log_ratio_serve_2nd_won_pct_was_na
1,Clay,R32,3,sl28,2024-96,mw02,2024-96-mw02-sl28-R32,2024,Corentin Moutet,14,FRA,25.271,Jan-Lennard Struff,GER,34.255,0,0,Left-Handed,Two-Handed Backhand,175,71,Right-Handed,Two-Handed Backhand,193,92,2024-07-27,og,0,FRA,Paris Olympics,"",10,15,218,0.560411311053985,457,0.551932367149758,0,0,68,34,51,22,-1,1,1,-1,-13,20,7,-10,-34,20,-30,-0.693147180559945,0.287682072451781,0.435318071257845,1,0,-225.696044016801,1822.63823843671,1942.48425362151,0.33405773949946,-282.457154827307,-388.307183659308,105.850028832001,0,1,0.576923076923077,0.591591591591592,3,3,0,0.6,0.5,0.6,0.7,0,-0.2,0.1,-0.1,0,0,0,0,0.1,0.1,0,0,0.5,2,0.428571428571429,1,0.663810116798999,0.563978808665992,0.4984903752624,0.511571894680541,0.042253254253128,0.046570439592471,1.98971190667587,7.68298053772974,0.735256081419195,0.818667805847475,0.573549866835413,0.599235354787063,0.2913771747088,0.24366209291394,0.452864458601229,0.415245443611026,0.500763073833807,0.512908116627432,0.15131004091146,-0.0240491116830659,-0.092203798811574,-1.2915971237647,-0.102928938697736,-0.0414069034088234,0.0309936551283044,0.17288381863809,0.0835458307653101,-0.0227888277252904,0.0800053696817383,-0.16099566459476,-0.21978299153672,0.161097740624711,0.171518354162749,0.0160099066456966,-0.0382972527004575,40,5.71428571428571,0,0,1,1,1,0,0,0,2,2,2,12,1.71428571428571,0,1,0,1,0,0,0,0,1,4,11,0,1,neutral,neutral,-0.0714285714285715,0.889982936257408,0.923495626469662,0.999999,0.999999,-0.191386799592134,-0.209386622316416,1,1,0.2,0.142857142857143,389,828,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,Clay,Q2,3,m0e1,2023-2871,g983,2023-2871-g983-m0e1-Q2,2023,Alessandro Giannessi,1,ITA,32.959,Daniel Michalski,POL,23.344,2,8,Left-Handed,Two-Handed Backhand,185,82,Right-Handed,Two-Handed Backhand,180,77,2023-05-15,ch50,73000,POR,Oeiras Open 4,Outdoor,15,5,334,0.513846153846154,42,0.538461538461538,0,0,230,289,84,247,1,0,1,-1,22,3,36,-18,59,14,-21,0.228347379189237,1.00726251007988,0.157038351484455,0,0,77.1043926757561,1695.65095563941,1628.42365339928,0.595558245221933,-153.113172482889,-143.236082047273,-9.87709043561608,1,1,0.537205081669691,0.537313432835821,2,0,0,0.6,0.6,0.6,0.6,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0,0.5,0,0.635049133034448,0.605856743393002,0.495642191761691,0.483191875339613,0.0478534070734436,0.0341759834904644,2.61427664047866,1.49103560601992,0.732076898451132,0.689643861687162,0.555838726279092,0.539743422800975,0.283643564179433,0.304319456529093,0.449557171905971,0.46974820093934,0.499171887542376,0.494991151916307,0.0339868633008376,0.0183736183490919,0.289302527067308,0.628869718375071,0.0610949041637262,0.0306823366117081,0.00453782644629197,-0.0770372414961579,-0.0451334360263823,0.0082311893867819,-0.233292848356869,-0.176028793581528,-0.145337175220328,0.165745176627328,0.164110413062051,-0.0161809235992825,0.153878913776016,7,1,1,0,0,1,0,0,0,0,1,2,9,63,9,0,0,1,1,0,1,0,0,1.5,2,9,0,0,neutral,neutral,0,0.903212454511578,0.941850673699458,0.999999,0.958589083083292,-0.193117448792967,-0.174110507172786,0,0,0,0,650,78,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,Hard,Q1,3,sp24,2023-8281,gj16,2023-8281-gj16-sp24-Q1,2023,Federico Agustin Gomez,3,ARG,26.811,Brayden Schnur,CAN,28.204,3,PR,Right-Handed,Two-Handed Backhand,191,95,Right-Handed,Two-Handed Backhand,193,84,2023-09-18,ch100,80000,USA,Columbus Challenger,Indoor,1,7,20,0.645161290322581,141,0.477966101694915,0,0,398,916,398,92,1,1,0,1,26,156,1,206,518,-25,50,0.833564359389692,0,2.29822778762509,0,0,61.3035005213603,1491.47572920155,1586.01272088611,0.367211406420536,-237.008144359422,-81.1676521534982,-155.840492205924,0,0,0,0.479674796747967,6,4,0,0.6,0.6,0.2,0.2,0.4,0.4,0,0,0,0,0,0,0,0,0,0,0.5,0,0.5,0,0.567254120983956,0.643893371170537,0.480067530005496,0.493281172246178,0.0496313423528539,0.0428499401047068,4.72244249606737,6.69584928271361,0.747292182121061,0.784720634856397,0.600180504741947,0.596703354825589,0.295589232470726,0.208492485412178,0.444122310951956,0.402179032203029,0.504076653547485,0.495721189170584,-0.0644015046325035,-0.0137988131270475,0.122248544316977,-0.181410101734707,-0.0309978980359616,0.0182957183344856,0.0655272963316706,0.226689642091005,0.0609750681479017,0.0108817767779126,0.0141277875166504,-0.136637169631156,-0.187950398748351,0.141582595117048,0.194232661102867,0.0591683244512006,0.0697167953333551,7,1,1,0,0,0,0,1,0,0,0.5,1,1,7,1,1,0,0,0,0,1,0,0,0.5,1,8,0,0,positive,negative,0,0.921008486098955,0.90133169595749,0.85969590403437,0.999999,-0.162227997086823,-0.197874249786825,0,0,0,0,31,295,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,Clay,R16,3,sl28,2023-1536,cg04,2023-1536-sl28-cg04-R16,2023,Pedro Cachin,8,ARG,28.037,Jan-Lennard Struff,GER,33.002,0,LL,Right-Handed,Two-Handed Backhand,185,76,Right-Handed,Two-Handed Backhand,193,92,2023-04-26,1000,8796536,ESP,Mutua Madrid Open,Outdoor,11,14,203,0.535620052770449,417,0.54796320630749,0,0,67,65,55,29,-1,0,1,1,-4,1,38,88,-2,42,87,-0.0303053494953289,0.197359434158495,0.807091439909163,0,0,-132.911736282992,1854.14367390781,1880.93469754801,0.461520854062476,-217.685617247267,-323.806329890062,106.120712642795,1,1,0.562874251497006,0.580327868852459,7,4,13,0.8,0.8,0.8,0.7,0,0.1,0,0.1,1,1,1,0,0,0.1,0,0,0.5,0,0.5,0,0.595043832602674,0.561593376567935,0.492054929429583,0.510093435789068,0.038117176851613,0.0469449153007606,3.88797464034033,7.54054379365465,0.738767052358148,0.814492306587305,0.532379275758269,0.596827217234672,0.305799974576668,0.247948223046569,0.452599207558621,0.417589858159891,0.509109887854127,0.512873512260168,0.0536131289010455,-0.0333626463387162,-0.20055176823764,-0.623461516895827,-0.0934107404476696,-0.110373800111702,0.0162652702578993,0.202997016869549,0.0775982576571107,-0.00660817360663492,0.131726135892715,-0.206807586817209,-0.21802316886245,0.146022090892174,0.169545805993205,0.0164249775239521,-0.0558389855263697,9,1.28571428571429,1,0,0,0,0,0,0,0,0,2,8,9,1.28571428571429,1,0,0,1,0,0,0,0,1,1,8,0,0,neutral,neutral,0,0.927952540533674,0.926617178146665,0.999999,0.999999,-0.16245013226892,-0.209066812610863,0,0,0,0,379,761,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,Hard,R16,3,d0dt,2024-9552,a0cj,2024-9552-a0cj-d0dt-R16,2024,Duje Ajdukovic,1,CRO,23.612,Martin Damm,USA,20.962,1,Alt,Right-Handed,Two-Handed Backhand,185,77,Left-Handed,Two-Handed Backhand,198,95,2024-09-16,ch100,148625,FRA,Saint-Tropez,"",4,6,134,0.560669456066946,94,0.463054187192118,0,0,105,209,105,175,1,1,-1,-1,29,31,-13,-24,104,-42,-55,0.688373901807288,0,0.177548278041296,0,0,260.613279003108,1674.15002361138,1640.66470978636,0.548040585661956,-320.541603816782,-93.4136386386915,-227.127965178091,0,1,0.557377049180328,0.513157894736842,2,0,0,0.8,0.7,0,0.1,0.8,0.6,0.1,-0.1,1,0,0,0,0.1,0.1,0,0,0.5,0,0.5,0,0.602989766745763,0.572473379902779,0.48485415599264,0.494837553550369,0.0355740406384301,0.0588077688186767,4.29522370606722,10.6065377564866,0.739083433261302,0.82930101474639,0.557299141248372,0.647509217024081,0.313513640198534,0.187208819836726,0.478770261629381,0.400000094235025,0.506482784806048,0.498803713160059,0.0398562497952572,-0.0156415057900525,-0.440545483788338,-0.738765695839393,-0.103183432784244,-0.135107591221824,0.112180881932037,0.46718849611713,0.15706001071803,0.0130951568923482,-0.0542453502376017,-0.181452048352977,-0.181033507683461,0.164783792561629,0.216072119730769,-0.0605854263931162,-0.0198560314046081,14,2,0,1,0,1,0,0,0,0,1,2,9,7,1,1,0,0,0,0,0,0,0,0,1,8,0,0,positive,negative,0,0.921982139486271,0.918372230491059,0.999999,0.999999,-0.162640793850529,-0.194018253570967,0,0,0,0,239,99,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,Clay,R16,3,c0mh,2023-2869,f840,2023-2869-c0mh-f840-R16,2023,Nerman Fatic,6,BIH,28.577,Gerard Campana Lee,KOR,18.639,0,0,Right-Handed,Two-Handed Backhand,191,88,Right-Handed,Two-Handed Backhand,180,85,2023-05-22,ch50,73000,MKD,Macedonian Open,Outdoor,12,0,65,0.49618320610687,2,0.4,0,0,268,1243,195,1243,0,-1,0,1,0,-22,-3,562,975,-3,584,1.53429611099985,0.31798742194711,0,0,0,237.229703598425,1677.54074600427,1519.69402345124,0.712721533438743,-145.121565017768,-65.7385839723665,-79.3829810454013,1,1,0.525252525252525,0.4,3,0,2,0.4,0.5,0.4,0.4,0,0.1,-0.1,0,0,0,0,0,0.1,0,0,0,0.5,0,0.5,0,0.634939381610483,0.607816880249768,0.491286739903386,0.513185185185185,0.0435912529067014,0.0425869895722705,3.64036866254768,4.59245393369526,0.730250643465578,0.757438892172158,0.559690092530766,0.568605280743538,0.306770356410603,0.272614197893621,0.457066831210099,0.433149841649286,0.503589595545995,0.506267458878348,0.00623654417498921,-0.0062298184209793,-0.0040207126081733,-0.0302495836386596,-0.00513712895555309,0,-0.10592700937965,-0.00933927536154307,0.0090846954773489,-0.00651225892510776,0,-0.169177812763824,-0.190084708846894,0.148400475829647,0.149539366076527,-0.0809093496030092,0.0031279210825392,8,1.14285714285714,1,0,0,1,0,0,0,0,1,1,8,7,1,1,0,0,1,0,0,0,0,1,2,9,0,0,neutral,neutral,0,0.920906612405185,0.921184821412009,0.999999,0.616378561348516,-0.14201605280959,-0.183429580944779,0,0,0,0,131,5,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,Clay,R16,3,h997,2024-319,h0du,2024-319-h997-h0du-R16,2024,Gustavo Heide,6,BRA,22.4,Yannick Hanfmann,GER,32.69,3/LL,0,Right-Handed,Two-Handed Backhand,188,73,Right-Handed,Two-Handed Backhand,193,86,2024-07-22,atp250,596035,AUT,Kitzbuhel,"",3,9,55,0.53921568627451,259,0.549893842887473,0,0,178,111,174,45,0,0,-1,-1,1,-4,-19,-53,-67,-20,-49,-0.472253348979751,0.0227282510775559,0.902867711542014,0,0,-22.0431887649283,1706.72563079958,1794.87797703056,0.375792504674646,-257.091170409437,-190.982012943387,-66.1091574660506,0,1,0.534883720930233,0.601449275362319,5,2,2,0.8,0.6,0.2,0.3,0.6,0.3,0.2,-0.1,1,0,0,0,0.2,0.1,0,0,0.5,0,0.5,0,0.575089148852562,0.63323951928444,0.533447387660312,0.528824371873843,0.0474130509407497,0.0328054806042888,4.63563532885282,4.70617485388043,0.804129563803664,0.797215447759973,0.600047976988478,0.594636637820876,0.246631485667587,0.262371631286136,0.397468148761764,0.418522815544784,0.508858013828355,0.511965134987914,-0.0744318017346416,0.00672586120451302,0.311030778133985,-0.0125982297761501,0.0136054980841437,0.0134640281667643,-0.00295081848043277,-0.0548043773130735,-0.0525264820134352,-0.00306085052679587,0.145156980467164,-0.205333767857101,-0.202839135319416,0.148497966917373,0.155717111992208,0.0201796624435127,-0.0697817161803279,7,1,1,0,0,1,0,0,0,0,1,5,10,7,1,1,0,0,1,0,0,0,0,1,2,9,0,0,neutral,neutral,0,0.893713072139476,0.886114710213639,0.999999,0.999999,-0.177627630544622,-0.176488036330797,0,0,0,0,102,471,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,Hard,Q1,3,s0re,2023-418,bp44,2023-418-s0re-bp44-Q1,2023,Gage Brymer,1,USA,28.481,Juncheng Shang,CHN,18.494,0,1,Right-Handed,Two-Handed Backhand,185,70,Left-Handed,Two-Handed Backhand,183,74,2023-07-31,atp500,2178980,USA,Mubadala Citi DC Open,Outdoor,10,2,17,0.320754716981132,54,0.580645161290323,0,0,744,156,455,150,-1,-1,0,1,-76,-197,-1,33,-588,75,230,-1.56218502758355,0.491743615882141,0.0392207131532816,1,0,-587.126741584793,1367.31568371627,1719.58327164405,0.116313293204312,9.3130257997957,-225.546127857217,234.859153657012,1,0,0.32,0.610169491525424,2,0,0,0,0.1,0.6,0.6,-0.6,-0.5,-0.1,0,0,0,0,0,0.1,0,0,0,0.5,0,0.5,0,0.642527781080779,0.648656884955127,0.519631253910136,0.518067751663063,0.039543836820547,0.0397124813743301,2.07756839691157,2.79821284397553,0.717287294925601,0.777639679256515,0.55858773263931,0.573794514814847,0.212363025885391,0.23331724951625,0.405840390736762,0.459421474682986,0.479882672368549,0.495694453298136,-0.0060623217757904,0.00192421844650293,-0.00979553603757481,-0.314830852735795,-0.0689843968251329,-0.0227280755236386,-0.069057875102159,-0.0986774655211135,-0.103481207707103,-0.0299124807914303,0.0327534822120996,-0.153722165959394,-0.205183805732534,0.196088048117561,0.230868707195121,0.0241117812251355,-0.0173591837145798,14,2,0,1,0,0,1,0,0,0,1,1,1,7,1,1,0,0,0,0,0,0,0,0,4,9,0,0,neutral,neutral,0,0.912815299055796,0.885486301973295,0.999999,0.999999,-0.203541955491045,-0.230465376260536,0,0,0,0,53,93,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
