V1,surface,stadie_id,best_of,opponent_code,tournament_id,player_code,id,year,player_name,match_order,player_citizenship,player_age,opponent_name,opponent_citizenship,opponent_age,player_seed,opponent_seed,match_result,player_handedness,player_backhand,player_height,player_weight,opponent_handedness,opponent_backhand,opponent_height,opponent_weight,tournament_start_dtm,tournament_category,tournament_prize,tournament_country,tournament_name,indoor_outdoor,player_years_experience,opponent_years_experience,player_matches_won,player_win_rate,opponent_matches_won,opponent_win_rate,player_gs_titles,opponent_gs_titles,player_atp_ranking,opponent_atp_ranking,player_highest_atp_ranking,opponent_highest_atp_ranking,player_rank_trend_4w_cat,player_rank_trend_12w_cat,opponent_rank_trend_4w_cat,opponent_rank_trend_12w_cat,player_rank_trend_4w,player_rank_trend_12w,opponent_rank_trend_4w,opponent_rank_trend_12w,rank_diff_t,trend_diff_4w,trend_diff_12w,log_rank_ratio_t,log_player_dist_to_peak,log_opponent_dist_to_peak,player_home,opponent_home,elo_diff,player_elo_surface_pre,opponent_elo_surface_pre,player_win_prob_surface,player_surface_specialization,opponent_surface_specialization,surface_specialization_diff,player_favourite_surface,opponent_favourite_surface,player_win_rate_surface_progressive,opponent_win_rate_surface_progressive,cumulative_sets,player_sets_played_tournament,opponent_sets_played_tournament,stadie_ord,player_win_ratio_last_5_matches,player_win_ratio_last_10_matches,opponent_win_ratio_last_5_matches,opponent_win_ratio_last_10_matches,momentum_diff_5,momentum_diff_10,player_trend,opponent_trend,player_good_form_5,player_good_form_10,opponent_good_form_5,opponent_good_form_10,player_consistency,opponent_consistency,player_won_previous_tournament,opponent_won_previous_tournament,player_h2h_full_win_ratio,player_h2h_total_matches,player_h2h_surface_win_ratio,player_h2h_surface_total_matches,player_serve_1st_in_pct_avg,opponent_serve_1st_in_pct_avg,player_serve_2nd_won_pct_avg,opponent_serve_2nd_won_pct_avg,player_double_faults_pct_avg,opponent_double_faults_pct_avg,player_aces_per_match_avg,opponent_aces_per_match_avg,player_service_games_won_pct_avg,opponent_service_games_won_pct_avg,player_break_points_saved_pct_avg,opponent_break_points_saved_pct_avg,player_return_games_won_pct_avg,opponent_return_games_won_pct_avg,player_break_points_converted_pct_avg,opponent_break_points_converted_pct_avg,player_total_points_won_pct_avg,opponent_total_points_won_pct_avg,log_ratio_serve_1st_in_pct,log_ratio_serve_2nd_won_pct,log_ratio_double_faults_pct,log_ratio_aces_per_match,log_ratio_service_games_won_pct,log_ratio_break_points_saved_pct,log_ratio_return_2nd_won_pct,log_ratio_return_games_won_pct,log_ratio_break_points_converted_pct,log_ratio_total_points_won_pct,log_ratio_tiebreaks_won_pct,player_clutch_bp_save_gap,opponent_clutch_bp_save_gap,player_clutch_bp_conv_gap,opponent_clutch_bp_conv_gap,player_clutch_tiebreak_adj,opponent_clutch_tiebreak_adj,player_days_since_prev_tournament,player_weeks_since_prev_tournament,player_back_to_back_week,player_two_weeks_gap,player_long_rest,player_country_changed,player_surface_changed,player_indoor_changed,player_continent_changed,player_red_eye_risk,player_travel_fatigue,player_prev_tour_matches,player_prev_tour_max_round,opponent_days_since_prev_tournament,opponent_weeks_since_prev_tournament,opponent_back_to_back_week,opponent_two_weeks_gap,opponent_long_rest,opponent_country_changed,opponent_surface_changed,opponent_indoor_changed,opponent_continent_changed,opponent_red_eye_risk,opponent_travel_fatigue,opponent_prev_tour_matches,opponent_prev_tour_max_round,player_prestigious_non_gs_titles,opponent_prestigious_non_gs_titles,player_win_prob_diff_general_vs_surface_cat,opponent_win_prob_diff_general_vs_surface_cat,h2h_surface_vs_general_diff,player_serve_1st_efficiency,opponent_serve_1st_efficiency,player_return_1st_efficiency,opponent_return_1st_efficiency,player_return_1st_vs_2nd_diff,opponent_return_1st_vs_2nd_diff,has_player_h2h_surface,has_player_h2h_full,player_h2h_full_cred,player_h2h_surface_cred,player_prev_matches,opponent_prev_matches,log_ratio_tiebreaks_won_pct_was_na,log_ratio_break_points_converted_pct_was_na,log_ratio_break_points_saved_pct_was_na,log_ratio_double_faults_pct_was_na,log_ratio_service_games_won_pct_was_na,log_ratio_return_games_won_pct_was_na,log_ratio_total_points_won_pct_was_na,log_ratio_aces_per_match_was_na,player_clutch_tiebreak_adj_was_na,opponent_clutch_tiebreak_adj_was_na,player_break_points_converted_pct_avg_was_na,opponent_break_points_converted_pct_avg_was_na,player_clutch_bp_conv_gap_was_na,opponent_clutch_bp_conv_gap_was_na,player_break_points_saved_pct_avg_was_na,opponent_break_points_saved_pct_avg_was_na,player_clutch_bp_save_gap_was_na,opponent_clutch_bp_save_gap_was_na,player_double_faults_pct_avg_was_na,opponent_double_faults_pct_avg_was_na,player_aces_per_match_avg_was_na,opponent_aces_per_match_avg_was_na,player_service_games_won_pct_avg_was_na,opponent_service_games_won_pct_avg_was_na,player_return_games_won_pct_avg_was_na,opponent_return_games_won_pct_avg_was_na,player_total_points_won_pct_avg_was_na,opponent_total_points_won_pct_avg_was_na,player_serve_1st_efficiency_was_na,opponent_serve_1st_efficiency_was_na,player_return_1st_efficiency_was_na,opponent_return_1st_efficiency_was_na,log_ratio_serve_1st_in_pct_was_na,log_ratio_serve_2nd_won_pct_was_na
553489,Hard,Q1,3,s0ia,2024-7397,s0uv,2024-7397-s0uv-s0ia-Q1,2024,Rei Sakamoto,11,JPN,18.381,Dane Sweeny,AUS,23.747,WC,7,1,Right-Handed,Two-Handed Backhand,,,Right-Handed,Two-Handed Backhand,170,63,2024-11-11,ch100,133250,JPN,Kobe,"",1,5,2,0.181818181818182,61,0.445255474452555,0,0,801,330,778,194,-1,0,-1,-1,-22,26,-54,-76,-471,-32,-102,-0.886768292607834,0.0291344228899684,0.531234495397197,1,0,-134.344785203913,1448.36144963093,1570.26938556079,0.331422463342773,-24.2429676331972,-36.6798169072586,12.4368492740614,1,1,0.2,0.483333333333333,6,4,0,1,0.2,0.2,0.4,0.3,-0.2,-0.1,0,0.1,0,0,0,0,0,0.1,0,0,0.5,0,0.5,0,0.553884517750518,0.611351570101583,0.45714185026386,0.500026336186346,0.0417351385768117,0.0485791565606065,4.51841947644899,2.47367897282605,0.73122479804005,0.712070449554653,0.558956811949236,0.538248471847114,0.199713254540114,0.259268880898463,0.344415165785686,0.452157335517814,0.481205693202221,0.489676770556035,-0.0264847300019783,-0.0240569583115308,-0.0486741207807781,0.170417522520534,-0.00927057224217252,0.0037914377502741,-0.00312746928538921,-0.26744756437604,-0.244754110170581,-0.0245896874293237,0,-0.163796951302754,-0.172717543596097,0.129307554565191,0.193967256955744,0.0031279210825392,-0.00319320188578096,7,1,1,0,0,0,0,0,0,0,0,1,8,7,1,1,0,0,0,0,0,0,0,0,3,8,0,0,neutral,neutral,0,0.941542774835415,0.921993902509932,0.999999,0.999999,-0.263126150931841,-0.179401442376938,0,0,0,0,11,137,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
533084,Clay,Q1,3,t0bw,2024-213,s0ek,2024-213-s0ek-t0bw-Q1,2024,Matias Soto,12,CHI,24.911,James Trotter,JPN,24.655,0,3,1,"","",,,Right-Handed,Unknown Backhand,15,75,2024-03-25,ch100,100000,MEX,San Luis Potosi,"",7,7,17,0.485714285714286,33,0.55,0,0,582,396,523,396,1,1,1,1,50,80,22,68,-186,-28,-12,-0.385056236476958,0.106888983666515,0,0,0,-66.1748733629099,1538.10783491339,1470.33784389482,0.596310485851824,-102.285222399313,-236.230086780791,133.944864381478,1,0,0.461538461538462,0,16,14,0,1,0.4,0.5,0.6,0.6,-0.2,-0.1,-0.1,0,0,0,0,0,0.1,0,0,0,0.5,0,0.5,0,0.605443067882401,0.60292695349213,0.45000556098004,0.521899084817134,0.0424441438313413,0.0423329454613236,4.1759160171141,8.94567362618593,0.73335312757012,0.840574556650558,0.563772483159657,0.660101699638365,0.253461734344093,0.216717001322576,0.421751125373032,0.400472062671408,0.490452964589044,0.510721923975692,0.00224241005190128,-0.0798075376816819,0.00332939783540593,-0.47054712242843,-0.101418142747168,-0.11190354846035,0.0543716111974295,0.114509841847579,0.0342851269482527,-0.0318576232456654,-0.0229166705845677,-0.165030307802624,-0.179103670993116,0.16634702008551,0.18471577578804,0.0127903166153386,0.00710101725884621,14,2,0,1,0,1,0,0,1,0,3,1,8,7,1,1,0,0,0,0,0,0,0,0,1,8,0,0,neutral,neutral,0,0.938984038889801,0.900262467727341,0.940953869512842,0.999999,-0.199952365967595,-0.183417061783707,0,0,0,0,35,60,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
507890,Clay,Q2,3,va25,2023-2151,bv16,2023-2151-va25-bv16-Q2,2023,Ugo Blanchet,4,FRA,24.301,Valentin Vacherot,MON,24.438,5,9,0,Right-Handed,Two-Handed Backhand,175,68,Right-Handed,Two-Handed Backhand,193,83,2023-04-24,ch50,73000,ITA,Roma Garden Open,Outdoor,5,8,16,0.457142857142857,22,0.488888888888889,0,0,335,354,307,261,-1,-1,-1,-1,-19,-17,-32,-59,19,-13,-42,0.055166381308708,0.0872827842378694,0.304776505811081,0,0,-7.18363345720172,1545.68025205229,1569.70871243831,0.465475292534254,-110.043440814492,-93.1986138856689,-16.8448269288226,0,0,0.5,0.5,3,0,0,2,0.2,0.4,0.2,0.3,0,0.1,-0.2,-0.1,0,0,0,0,0.2,0.1,0,0,0.5,0,0.5,0,0.490485784238264,0.670232453312536,0.509388290641152,0.546380572071737,0.0523218048225477,0.0278840264776346,5.11382451384613,4.75744611414829,0.763141057257783,0.787532072127394,0.570180673044998,0.581425267617902,0.252496305073772,0.22382593082794,0.385663714473623,0.468379495405583,0.50242220141095,0.503291554826972,-0.168122636920612,-0.0377488691801888,0.533405630644532,0.0498104440422331,-0.0238415566219734,-0.0149172592377166,0.108265132387662,0.0960871544187601,-0.161697434158744,-0.00114367791670421,-0.243376066632088,-0.193605545338794,-0.209024921848356,0.123420153649957,0.256830565360055,-0.107899356672042,0.0554693081930942,28,4,0,0,1,0,0,0,0,0,0,1,1,7,1,1,0,0,1,0,0,0,0,1,1,1,0,0,neutral,neutral,0,0.94723820115292,0.894180873634238,0.951598599957835,0.999999,-0.195392030803607,-0.156172426974063,0,0,0,0,35,45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
545272,Hard,Q2,3,r0eb,2024-7316,hc21,2024-7316-hc21-r0eb-Q2,2024,Seong-chan Hong,5,KOR,27.115,Valentin Royer,FRA,23.201,8,0,1,Right-Handed,Two-Handed Backhand,175,65,Right-Handed,Two-Handed Backhand,188,83,2024-08-11,ch100,133250,USA,Cary,"",11,5,88,0.523809523809524,53,0.552083333333333,0,0,157,198,157,194,1,1,1,1,27,41,6,32,41,-21,-9,0.232021225346227,0,0.020408871631207,0,0,105.010161742652,1745.41096844297,1623.64761364659,0.668393093751166,-196.356215084274,-213.109408137994,16.7531930537195,1,0,0.558620689655172,0.537037037037037,6,4,0,2,0.8,0.6,0.4,0.5,0.4,0.1,0.2,-0.1,1,0,0,0,0.2,0.1,0,0,0.5,0,0.5,0,0.597442963042083,0.617210914854209,0.507565504353117,0.51857946699001,0.0336456747163814,0.0310253918402121,4.33926962763374,5.02094473904493,0.750860467942483,0.809238601135984,0.578127540407203,0.59145493813475,0.287348861084481,0.236555592044311,0.452684234185587,0.434502892479539,0.50638011968586,0.507802597906745,-0.0248014714575574,-0.0163561616138148,0.0971261386457905,-0.120065700775148,-0.0678451563438798,-0.021979708126124,0.0336536539626179,0.171511713749221,0.0346771414117368,-0.00330292491652994,0.0891442845414103,-0.171759656096491,-0.220399370912129,0.164678368203731,0.199920624978704,0.0609607572985722,-0.000515321293346557,13,1.85714285714286,0,1,0,0,0,0,0,0,0,5,9,13,1.85714285714286,0,1,0,1,0,0,1,0,3,1,8,0,0,neutral,neutral,0,0.924712143843166,0.895671412435741,0.999999,0.999999,-0.187736859204629,-0.196783761595388,0,0,0,0,168,96,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
546192,Clay,F,3,d0hd,2024-3473,b0id,2024-3473-d0hd-b0id-F,2024,Ignacio Buse,1,PER,20.419,Gabriel Debru,FRA,18.68,0,0,0,"","",,,"","",,,2024-08-26,ch50,74825,ITA,Como,"",3,3,35,0.583333333333333,49,0.526881720430108,0,0,260,329,260,308,1,1,-1,0,11,76,-35,11,69,-46,-65,0.235376119749844,0,0.0659579677917979,0,0,110.185970931275,1660.47789603741,1653.50953339993,0.510026935496261,-230.028578662154,-126.810970368349,-103.217608293806,1,1,0.566037735849057,0.586206896551724,13,10,0,12,0.4,0.5,0.6,0.7,-0.2,-0.2,-0.1,-0.1,0,0,0,0,0.1,0.1,0,0,0.5,0,0.5,0,0.62240162531891,0.621414371106495,0.486005313401883,0.483870496114032,0.0369024961801274,0.0406091415095202,2.78409727150613,4.19433224048675,0.740222302519463,0.753397538852046,0.568998378629833,0.527363329849234,0.349312344620252,0.27302121457544,0.442253233282472,0.434824271851675,0.519855708614921,0.500139416350093,0.00105830533896704,0.00293483119157815,-0.0901961974201607,-0.345408029091791,-0.0163195560926159,0.062119358444115,0.062588263533599,0.212208468628245,0.015264537006491,0.0340402699335626,-0.12097048035752,-0.168533461710185,-0.229527126464663,0.0809281498604827,0.160324707470591,-0.10360378719131,-0.0129410078281209,14,2,0,1,0,1,0,0,1,0,3,2,9,7,1,1,0,0,1,0,0,0,0,1,2,9,0,0,neutral,neutral,0,0.936484698256302,0.911660133710105,0.896022754288115,0.999999,-0.146639068270573,-0.189624389111624,0,0,0,0,60,93,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
515804,Hard,Q1,3,s0nn,2023-586,b0f8,2023-586-b0f8-s0nn-Q1,2023,Justin Boulais,5,CAN,21.779,Joshua Sheehy,USA,26.508,5,0,1,Left-Handed,One-Handed Backhand,183,77,Left-Handed,Unknown Backhand,188,88,2023-07-31,ch100,80000,USA,Lexington Challenger,Outdoor,5,0,13,0.419354838709677,2,0.5,0,0,487,734,487,734,1,1,0,0,87,92,11,-18,247,-76,-110,0.410244905531925,0,0,0,1,100.465973572709,1532.70338974159,1509.05094793504,0.533986113223573,-114.510529996156,-37.69699823,-76.8135317661561,1,0,0.419354838709677,0.5,7,5,0,1,0.6,0.5,0.5,0.5,0.1,0,0.1,0,0,0,0,0,0.1,0,0,0,0.5,0,0.5,0,0.602734976729289,0.568425705848459,0.497870655253347,0.504705523513753,0.0540051834260528,0.0419608346591051,4.24358070744948,4.68868090054288,0.753628576300592,0.758676214739856,0.550782559376694,0.568605280743538,0.205748768511173,0.256860184341816,0.356256783707492,0.433361905236211,0.488769710317711,0.500959904463112,0.00689492611008209,-0.00160409357129235,0,0,0,0,-0.154879110185456,0,0,0,0,-0.205965250528327,-0.190084708846894,0.144039223713866,0.175973381514417,0.0692075070285386,0.0031279210825392,14,2,0,1,0,1,0,0,0,0,1,3,10,14,2,0,1,0,1,0,0,0,0,1,3,8,0,0,neutral,neutral,0,0.917673667375449,0.921605239687708,0.999999,0.5,-0.145350744109883,-0.22482041954898,0,0,0,0,31,4,1,1,1,1,1,1,1,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,0
506764,Clay,R16,3,y218,2023-8388,m0jz,2023-8388-m0jz-y218-R16,2023,Filip Misolic,3,AUT,21.672,Elias Ymer,SWE,27,6,Q,1,Right-Handed,Two-Handed Backhand,180,75,Right-Handed,Two-Handed Backhand,185,78,2023-04-10,ch50,73000,CRO,Split Open,Outdoor,2,9,43,0.558441558441558,273,0.532163742690059,0,0,146,157,141,105,0,0,-1,-1,0,3,-8,-31,11,-8,-34,0.0726391836399713,0.0348467313301679,0.402285455190785,0,0,-51.7601521102986,1705.71009923962,1789.63991888035,0.381511199137369,-135.531190842083,-103.36152331165,-32.1696675304322,1,1,0.63265306122449,0.585185185185185,3,0,4,9,0.4,0.5,0.8,0.6,-0.4,-0.1,-0.1,0.2,0,0,1,0,0.1,0.2,0,0,0.5,0,0.5,0,0.563175160717901,0.590242737190923,0.505211084847299,0.492715719045581,0.0375543976772269,0.0415609171923246,3.18145757477505,4.11204688084674,0.740096617248915,0.759111912243052,0.601788827035848,0.566922189807891,0.291851143201932,0.273931420911177,0.474386910284598,0.432574237105294,0.500991218930201,0.504521922892035,-0.0337814758355448,0.0180222519922057,-0.0949487524541775,-0.228369441727741,-0.0229796434458759,0.0532674721703836,-0.0410306892405401,0.0659214714295351,0.0824359316417704,-0.00524008985304267,0.1538855380441,-0.132359586887471,-0.192230498023868,0.183168606945688,0.15829124364956,0.0956769457614872,-0.0128420564043141,7,1,1,0,0,1,0,0,0,0,1,1,8,7,1,1,0,0,1,0,0,1,1,3,4,9,0,0,neutral,neutral,0,0.919710214337878,0.917220575408123,0.960911810047561,0.999999,-0.171908206580032,-0.205751493850874,0,0,0,0,77,513,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
535786,Hard,SF,3,l0gh,2024-2897,hg86,2024-2897-hg86-l0gh-SF,2024,Lloyd Harris,2,RSA,27.161,Mark Lajal,EST,20.943,4,0,1,Right-Handed,Two-Handed Backhand,193,80,Right-Handed,Two-Handed Backhand,188,78,2024-04-22,ch100,82000,CHN,Shenzhen (Luohu),"",8,2,205,0.560109289617486,51,0.573033707865168,0,0,171,208,31,196,1,0,-1,0,11,-4,-12,-3,37,-23,1,0.195874523198658,1.70767635201751,0.0594234204708011,0,0,151.418839531437,1781.70251078321,1669.13332225982,0.656559702164164,-200.150890482796,-161.301239474765,-38.8496510080311,1,0,0.602189781021898,0.579545454545455,9,7,0,11,1,0.7,0.6,0.4,0.4,0.3,0.3,0.2,1,0,0,0,0.3,0.2,1,0,0.5,0,0.5,0,0.632274465454381,0.623085770812657,0.502289183906844,0.504353679075219,0.0331789981544851,0.0455114189810476,9.91234928389509,4.89451916404771,0.830041391627918,0.802318609561883,0.595125725446908,0.628226063768886,0.220982748882612,0.285214051205808,0.442872823397646,0.43324167677281,0.510762444981087,0.517332695060466,0.0109487756358675,-0.00306768836380822,-0.260258308779231,0.534932592862359,0.0198248723466424,-0.0544451764722213,-0.110296305192357,-0.214018523874613,0.0173677730878803,-0.0140756085175511,-0.158159825553227,-0.236108711580884,-0.172479958585649,0.223083160000157,0.145098086707672,-0.00859680290208368,0.0899251802913305,7,1,1,0,0,1,0,0,0,0,1,5,12,7,1,1,0,0,1,0,0,0,0,1,3,10,0,0,neutral,neutral,0,0.911053067847267,0.895578635741899,0.999999,0.988498831841096,-0.189062693500205,-0.213924397615951,0,0,0,0,366,89,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
